Module Entrys: 38978            Audit Entrys: 1217            
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 232
Pid: 11052            Module: poll             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: futex            Audit: 232
Pid: 11052            Module: futex            Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: futex            Audit: 47
Pid: 11052            Module: futex            Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 0
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: futex            Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11764            Module: poll             Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 232
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: epoll_wait'      Audit: 47
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
