Module Entrys: 17201            Audit Entrys: 3553            
Pid: 12580            Module: write            Audit: 5
Pid: 12619            Module: epoll_pwait'     Audit: 13
Pid: 12619            Module: futex            Audit: 13
Pid: 12619            Module: read             Audit: 13
Pid: 12619            Module: futex            Audit: 59
Pid: 25812            Module: write            Audit: 56
Pid: 25812            Module: epoll_ctl'       Audit: 13
Pid: 25812            Module: close            Audit: 13
Pid: 25812            Module: write            Audit: 13
Pid: 12619            Module: futex            Audit: 12
Pid: 12619            Module: epoll_pwait'     Audit: 21
Pid: 12619            Module: futex            Audit: 21
Pid: 12619            Module: read             Audit: 257
Pid: 12619            Module: futex            Audit: 5
Pid: 12619            Module: epoll_ctl'       Audit: 9
Pid: 12619            Module: close            Audit: 3
Pid: 12619            Module: mmap             Audit: 21
Pid: 12619            Module: pselect6'        Audit: 257
Pid: 12619            Module: futex            Audit: 0
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 12619            Module: pselect6'        Audit: 5
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 25812            Module: pselect6'        Audit: 13
Pid: 12619            Module: read             Audit: 9
Pid: 12619            Module: epoll_pwait'     Audit: 9
Pid: 12580            Module: fsync            Audit: 11
Pid: 25812            Module: epoll_pwait'     Audit: 13
Pid: 12628            Module: close            Audit: 56
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: access           Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: read             Audit: 13
Pid: 12628            Module: fstat            Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mprotect'        Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: close            Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: access           Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: read             Audit: 13
Pid: 12628            Module: fstat            Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mprotect'        Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: close            Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: access           Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: read             Audit: 13
Pid: 12628            Module: fstat            Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mprotect'        Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: close            Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: access           Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: read             Audit: 13
Pid: 12628            Module: fstat            Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mprotect'        Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: close            Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: access           Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: read             Audit: 13
Pid: 12628            Module: fstat            Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mprotect'        Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: close            Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: access           Audit: 13
Pid: 12628            Module: openat           Audit: 13
Pid: 12628            Module: read             Audit: 13
Pid: 12628            Module: fstat            Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mprotect'        Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: close            Audit: 13
Pid: 12628            Module: openat           Audit: 14
Pid: 12628            Module: access           Audit: 33
Pid: 12628            Module: openat           Audit: 33
Pid: 12628            Module: read             Audit: 33
Pid: 12628            Module: fstat            Audit: 33
Pid: 12628            Module: mmap             Audit: 33
Pid: 12628            Module: mprotect'        Audit: 33
Pid: 12628            Module: mmap             Audit: 33
Pid: 12628            Module: close            Audit: 59
Pid: 12628            Module: openat           Audit: 12
Pid: 12628            Module: access           Audit: 21
Pid: 12628            Module: openat           Audit: 21
Pid: 12628            Module: read             Audit: 257
Pid: 12628            Module: fstat            Audit: 4
Pid: 12628            Module: mmap             Audit: 257
Pid: 12628            Module: mprotect'        Audit: 4
