Module Entrys: 12977            Audit Entrys: 16              
Pid: 31556            Module: wait4            Audit: 0
Pid: 31556            Module: rt_sigaction'    Audit: 0
Pid: 31556            Module: rt_sigprocmask'  Audit: 3
Pid: 31556            Module: wait4            Audit: 61
Pid: 31556            Module: 4294967295       Audit: 15
Pid: 31556            Module: read             Audit: 22
Pid: 31556            Module: rt_sigprocmask'  Audit: 56
Pid: 31556            Module: lseek            Audit: 3
Pid: 31556            Module: clone            Audit: 0
Pid: 31556            Module: rt_sigprocmask'  Audit: 0
Pid: 31556            Module: rt_sigprocmask'  Audit: 3
Pid: 31556            Module: rt_sigprocmask'  Audit: 61
Pid: 31556            Module: rt_sigprocmask'  Audit: 15
Pid: 31556            Module: rt_sigaction'    Audit: 22
Pid: 31650            Module: getpid           Audit: NOT_FILTERED
Pid: 31649            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: dup2             Audit: NOT_FILTERED
Pid: 31650            Module: execve           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: access           Audit: NOT_FILTERED
Pid: 31650            Module: openat           Audit: NOT_FILTERED
Pid: 31650            Module: read             Audit: NOT_FILTERED
Pid: 31650            Module: fstat            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: close            Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: mmap             Audit: NOT_FILTERED
Pid: 31650            Module: arch_prctl'      Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
Pid: 31650            Module: mprotect'        Audit: NOT_FILTERED
