Module Entrys: 8759             Audit Entrys: 3462            
Pid: 23748            Module: access           Audit: 59
Pid: 23748            Module: openat           Audit: 12
Pid: 23748            Module: read             Audit: 21
Pid: 23748            Module: fstat            Audit: 21
Pid: 23748            Module: mmap             Audit: 257
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: epoll_wait'      Audit: 202
Pid: 10167            Module: read             Audit: 232
Pid: 10167            Module: sendmsg'         Audit: 0
Pid: 10167            Module: write            Audit: 46
Pid: 10167            Module: futex            Audit: 232
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 23747            Module: wait4            Audit: 273
Pid: 23747            Module: 4294967295       Audit: 3
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 23749            Module: clone            Audit: 273
Pid: 23749            Module: set_robust_list' Audit: 3
Pid: 23749            Module: close            Audit: 33
Pid: 23749            Module: dup2             Audit: 3
Pid: 23749            Module: close            Audit: 3
Pid: 23749            Module: close            Audit: 33
Pid: 23749            Module: dup2             Audit: 3
Pid: 23749            Module: close            Audit: 3
Pid: 23749            Module: close            Audit: 33
Pid: 23749            Module: dup2             Audit: 3
Pid: 23749            Module: close            Audit: 59
Pid: 23749            Module: execve           Audit: 12
Pid: 23749            Module: brk              Audit: 21
Pid: 23749            Module: access           Audit: 21
Pid: 23749            Module: access           Audit: 257
Pid: 23749            Module: openat           Audit: 5
Pid: 23749            Module: fstat            Audit: 9
Pid: 23749            Module: mmap             Audit: 3
Pid: 23749            Module: close            Audit: 21
Pid: 23749            Module: access           Audit: 257
Pid: 23749            Module: openat           Audit: 0
Pid: 23749            Module: read             Audit: 5
Pid: 23749            Module: fstat            Audit: 9
Pid: 23749            Module: mmap             Audit: 9
Pid: 23749            Module: mmap             Audit: 10
Pid: 23749            Module: mprotect'        Audit: 9
Pid: 23749            Module: mmap             Audit: 9
Pid: 23749            Module: mmap             Audit: 3
Pid: 23749            Module: close            Audit: 158
Pid: 23749            Module: arch_prctl'      Audit: 10
Pid: 23749            Module: mprotect'        Audit: 10
Pid: 23749            Module: mprotect'        Audit: 10
Pid: 23749            Module: mprotect'        Audit: 11
Pid: 23749            Module: munmap           Audit: 102
Pid: 23749            Module: getuid           Audit: 104
Pid: 23749            Module: getgid           Audit: 39
Pid: 23749            Module: getpid           Audit: 13
Pid: 23749            Module: rt_sigaction'    Audit: 107
Pid: 23749            Module: geteuid'         Audit: 12
Pid: 23749            Module: brk              Audit: 12
Pid: 23749            Module: brk              Audit: 110
Pid: 23749            Module: getppid'         Audit: 4
Pid: 23749            Module: stat             Audit: 4
Pid: 23749            Module: stat             Audit: 79
Pid: 23749            Module: getcwd           Audit: 107
Pid: 23749            Module: geteuid'         Audit: 108
Pid: 23749            Module: getegid'         Audit: 13
Pid: 23749            Module: rt_sigaction'    Audit: 13
Pid: 23749            Module: rt_sigaction'    Audit: 13
Pid: 23749            Module: rt_sigaction'    Audit: 13
Pid: 23749            Module: rt_sigaction'    Audit: 13
Pid: 23749            Module: rt_sigaction'    Audit: 13
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: poll             Audit: 1
